序号,提交答卷时间,所用时间,来源,来源详情,来自IP,总分,1、User ID,2、I felt in control of the stylus throughout the task.—mid-air,2、haptic,3、I could reach the target position easily (without frequent corrective adjustments).—mid-air,3、haptic,4、I could perceive and understand the height I was creating or editing.—mid-air,4、haptic,5、I would like to use this interaction method for 3D content creation tasks in VR.—mid-air,5、haptic
1,2026/3/17 10:25:56,29秒,链接,直接访问,110.65.147.238(广东-深圳),29,1,3,4,4,3,3,4,4,4
2,2026/3/17 11:07:31,893秒,链接,直接访问,110.65.147.238(广东-深圳),29,2,5,3,4,3,3,4,3,4
3,2026/3/17 13:34:39,46秒,链接,直接访问,110.65.147.238(广东-深圳),32,3,5,4,4,3,3,5,4,4
4,2026/3/17 14:58:46,176秒,链接,直接访问,110.65.147.238(广东-深圳),26,4,2,4,2,5,1,5,2,5
5,2026/3/17 15:39:59,205秒,链接,直接访问,110.65.147.238(广东-深圳),30,5,4,4,4,3,3,4,4,4
6,2026/3/17 16:58:25,806秒,链接,直接访问,110.65.147.238(广东-深圳),36,6,5,4,5,5,4,5,4,4
7,2026/3/17 18:04:07,200秒,链接,直接访问,110.65.147.238(广东-深圳),32,7,3,4,4,3,3,5,5,5
8,2026/3/18 10:43:15,902秒,链接,直接访问,110.65.147.189(广东-深圳),26,8,3,4,2,4,2,4,2,5
9,2026/3/18 11:19:44,286秒,链接,直接访问,110.65.147.238(广东-深圳),28,9,4,4,2,5,2,4,3,4
10,2026/3/18 13:42:09,113秒,链接,直接访问,110.65.147.238(广东-深圳),31,10,4,3,3,4,3,5,4,5
11,2026/3/19 14:40:19,77秒,链接,直接访问,110.65.147.189(广东-深圳),23,11,3,3,3,2,1,5,1,5
12,2026/3/19 15:12:53,264秒,链接,直接访问,110.65.147.189(广东-深圳),26,12,4,4,1,2,4,4,2,5
13,2026/3/19 16:02:27,434秒,链接,直接访问,110.65.147.189(广东-深圳),28,13,4,3,3,3,3,4,4,4
14,2026/3/19 16:41:29,259秒,链接,直接访问,110.65.147.189(广东-深圳),31,14,5,4,5,4,3,4,2,4